time	theta_jn	ra	psi	phi_orb	mtotal_ref	mtotal	logw	logprior	logl	hrss	deltalogll1	deltaloglh1	deltalogl	dec	
1.11117845300502e+09	6.59149732092752e-01	4.52210677190340e+00	5.21740767375900e-01	5.25126030880793e+00	1.00000000000000e+02	2.50538473063850e+02	-3.66142903206075e+01	1.84935609158034e+02	-1.83423161674772e+03	7.52409366505654e-21	4.19975229952440e+01	8.19983746579587e+01	1.21708978511581e+02	8.44306747624631e-01	
1.11117845300969e+09	5.35460339701201e-01	4.52889426484125e+00	2.99487334163979e+00	3.39335778732837e+00	1.00000000000000e+02	2.23545753956169e+02	-3.49388967603091e+01	1.85116271578157e+02	-1.83422613933332e+03	7.53916560162187e-21	3.47718468077934e+01	8.40115978005621e+01	1.21714455925982e+02	6.39869569546419e-01	
1.11117845301657e+09	3.42686800520213e-01	5.60319296595259e+00	1.39803093995115e+00	4.45806241663474e+00	1.00000000000000e+02	2.31744771268957e+02	-3.65202369284428e+01	1.86462793779533e+02	-1.83419786581111e+03	5.45612518937466e-21	3.77371495027081e+01	8.57302960253231e+01	1.21742729448183e+02	5.62616415239098e-01	
1.11117845302377e+09	4.07585373508881e-01	5.53557600549511e+00	9.25932042302015e-01	1.14958930249161e-01	1.00000000000000e+02	2.10397898500774e+02	-3.63383248809147e+01	1.86473598927679e+02	-1.83412985874028e+03	5.14612527827964e-21	3.59838661871024e+01	8.49050576594178e+01	1.21810736519022e+02	8.27566836038500e-01	
1.11117845301789e+09	5.90196867719512e-01	5.66942099037072e+00	4.29028223148704e-01	5.92485642122887e+00	1.00000000000000e+02	2.39071075844314e+02	-3.57534319677658e+01	1.86036179077475e+02	-1.83412328843376e+03	6.25499851636732e-21	4.26773689834431e+01	8.07516708434696e+01	1.21817306825537e+02	3.05612576739079e-01	
1.11117845301483e+09	1.46998379639374e-01	5.75524356524904e+00	2.08012613402003e+00	4.72412175650693e+00	1.00000000000000e+02	2.49771168729492e+02	-3.64317317943605e+01	1.86503377591194e+02	-1.83412293950117e+03	5.61592360996039e-21	4.26773689834431e+01	8.07516708434696e+01	1.21817655758131e+02	1.50353698453348e-01	
1.11117845301946e+09	3.68223062155202e-01	5.81817688821255e+00	1.76373220728239e+00	1.44473928759287e+00	1.00000000000000e+02	2.44180069236285e+02	-3.62596157896582e+01	1.87378554729065e+02	-1.83400820204097e+03	4.30772630845290e-21	3.78581304610215e+01	8.41302373510351e+01	1.21932393218328e+02	6.07233169254054e-01	
1.11117845302023e+09	4.01420846272291e-01	5.17226415793490e+00	3.14079156098166e+00	2.77745537604775e+00	1.00000000000000e+02	2.27688095637530e+02	-3.57616832185546e+01	1.86451603040744e+02	-1.83398958054831e+03	5.06773283999847e-21	4.06765393401139e+01	8.40605229766094e+01	1.21951014710987e+02	8.98830603508132e-01	
1.11117845302135e+09	1.16612688020099e-01	5.42707167538087e+00	2.79366707696449e+00	5.68309963559634e+00	1.00000000000000e+02	2.15937657485579e+02	-3.42462370795333e+01	1.86641314361535e+02	-1.83396384890895e+03	4.71924847316756e-21	3.36950437127741e+01	7.99995847324697e+01	1.21976746350347e+02	9.69201376450205e-01	
1.11117845301943e+09	6.68163440687645e-01	4.87283115978813e+00	5.23886719456118e-02	6.22991695853055e+00	1.00000000000000e+02	2.23486277397729e+02	-3.65460525857002e+01	1.85230481866551e+02	-1.83391872713158e+03	6.63965779828080e-21	3.90716127304867e+01	8.29502553972339e+01	1.22021868127721e+02	9.99227402056860e-01	
1.11117845301685e+09	4.96643186470129e-01	5.34728242501324e+00	2.46527063535232e+00	5.57073028825566e+00	1.00000000000000e+02	2.39042268072323e+02	-3.64148386193615e+01	1.86253698913996e+02	-1.83387785281196e+03	5.53803124091225e-21	4.00650735335558e+01	8.25607601960521e+01	1.22062742447334e+02	7.54799458403275e-01	
